"PER_LEGAL_EMPLOYER_ORG.OrganizationCode","PER_LEGAL_EMPLOYER_ORG.EffectiveStartDate","PER_LEGAL_EMPLOYER_ORG.EffectiveEndDate","ClassificationName","OrganizationName","EffectiveStartDate","EffectiveEndDate","ViewInstanceName","GroupingKey","LogicalStartDate","LogicalEndDate","SetCode","CategoryCode","LegislationCode","Status","OrgUnitClassificationId","OrganizationId","ClassificationCode","SetId"
"LE_338","0001/01/01","4712/12/31","Legal Employer","Clearpay S.A.U.","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Clearpay S.A.U.,Legal Employer","0001/01/01","4712/12/31","","HCM_LEMP","ES","A","","","","#null"
"LE_141","0001/01/01","4712/12/31","Legal Employer","Afterpay US, Inc.","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Afterpay US, Inc.,Legal Employer","0001/01/01","4712/12/31","","HCM_LEMP_US","US","A","","","","#null"
"LE_271","0001/01/01","4712/12/31","Legal Employer","Lanai (AU) 1 Pty Ltd","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Lanai (AU) 1 Pty Ltd,Legal Employer","0001/01/01","4712/12/31","","HCM_LEMP","AU","A","","","","#null"
"LE_270","0001/01/01","4712/12/31","Legal Employer","Afterpay International Holdings Pty Ltd","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Afterpay International Holdings Pty Ltd,Legal Employer","0001/01/01","4712/12/31","","HCM_LEMP","AU","A","","","","#null"
"LE_264","0001/01/01","4712/12/31","Legal Employer","Afterpay Corporate Services Pty Ltd","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Afterpay Corporate Services Pty Ltd,Legal Employer","0001/01/01","4712/12/31","","HCM_LEMP","AU","A","","","","#null"
"LE_266","0001/01/01","4712/12/31","Legal Employer","Afterpay China Holdings Pty Ltd","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Afterpay China Holdings Pty Ltd,Legal Employer","0001/01/01","4712/12/31","","HCM_LEMP","AU","A","","","","#null"
"LE_268","0001/01/01","4712/12/31","Legal Employer","Afterpay Australia Pty Ltd","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Afterpay Australia Pty Ltd,Legal Employer","0001/01/01","4712/12/31","","HCM_LEMP","AU","A","","","","#null"
"LE_203","0001/01/01","4712/12/31","Legal Employer","Afterpay Asia Pte. Ltd.","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Afterpay Asia Pte. Ltd.,Legal Employer","0001/01/01","4712/12/31","","HCM_LEMP","SG","A","","","","#null"
"LE_333","0001/01/01","4712/12/31","Legal Employer","Clearpay (International) Limited ","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Clearpay (International) Limited ,Legal Employer","0001/01/01","4712/12/31","","HCM_LEMP_GB","GB","A","","","","#null"
"LE_148","0001/01/01","4712/12/31","Legal Employer","Lanai (US) 2, LLC","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Lanai (US) 2, LLC,Legal Employer","0001/01/01","4712/12/31","","HCM_LEMP_US","US","A","","","","#null"
