"PAY_PAYROLL_STATUTORY_UNIT_ORG.OrganizationCode","PAY_PAYROLL_STATUTORY_UNIT_ORG.EffectiveStartDate","PAY_PAYROLL_STATUTORY_UNIT_ORG.EffectiveEndDate","ClassificationName","OrganizationName","EffectiveStartDate","EffectiveEndDate","ViewInstanceName","GroupingKey","LogicalStartDate","LogicalEndDate","SetCode","CategoryCode","LegislationCode","Status","OrgUnitClassificationId","OrganizationId","ClassificationCode","SetId"
"LE_119","0001/01/01","4712/12/31","Payroll Statutory Unit","Project Rising, LLC","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Project Rising, LLC,Payroll Statutory Unit","0001/01/01","4712/12/31","","HCM_PSU_US","US","A","","","","#null"
"LE_121","0001/01/01","4712/12/31","Payroll Statutory Unit","Project Panther US LLC (US)","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Project Panther US LLC (US),Payroll Statutory Unit","0001/01/01","4712/12/31","","HCM_PSU_US","US","A","","","","#null"
"LE_305","0001/01/01","4712/12/31","Payroll Statutory Unit","Project Panther Bidco Ltd","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Project Panther Bidco Ltd,Payroll Statutory Unit","0001/01/01","4712/12/31","","HCM_PSU_GB","GB","A","","","","#null"
"LE_322","0001/01/01","4712/12/31","Payroll Statutory Unit","Tidal sp. z o.o.","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Tidal sp. z o.o.,Payroll Statutory Unit","0001/01/01","4712/12/31","","HCM_PSU","PL","A","","","","#null"
"LE_212","0001/01/01","4712/12/31","Payroll Statutory Unit","Tidal K.K.","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Tidal K.K.,Payroll Statutory Unit","0001/01/01","4712/12/31","","HCM_PSU","JP","A","","","","#null"
"LE_325","0001/01/01","4712/12/31","Payroll Statutory Unit","Tidal Music - Spain, SL","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Tidal Music - Spain, SL,Payroll Statutory Unit","0001/01/01","4712/12/31","","HCM_PSU","ES","A","","","","#null"
"LE_263","0001/01/01","4712/12/31","Payroll Statutory Unit","Touch Australia Pty Ltd","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Touch Australia Pty Ltd,Payroll Statutory Unit","0001/01/01","4712/12/31","","HCM_PSU","AU","A","","","","#null"
"LE_265","0001/01/01","4712/12/31","Payroll Statutory Unit","Touch Networks Pty Ltd","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Touch Networks Pty Ltd,Payroll Statutory Unit","0001/01/01","4712/12/31","","HCM_PSU","AU","A","","","","#null"
"LE_269","0001/01/01","4712/12/31","Payroll Statutory Unit","Afterpay Warehouse Trust","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Afterpay Warehouse Trust,Payroll Statutory Unit","0001/01/01","4712/12/31","","HCM_PSU","AU","A","","","","#null"
"LE_332","0001/01/01","4712/12/31","Payroll Statutory Unit","Clearpay (UK) Finance Services Limited","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Clearpay (UK) Finance Services Limited,Payroll Statutory Unit","0001/01/01","4712/12/31","","HCM_PSU_GB","GB","A","","","","#null"
"LE_340","0001/01/01","4712/12/31","Payroll Statutory Unit","Pagantis, S.A. (Italian Branch)","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Pagantis, S.A. (Italian Branch),Payroll Statutory Unit","0001/01/01","4712/12/31","","HCM_PSU","IT","A","","","","#null"
"LE_142","0001/01/01","4712/12/31","Payroll Statutory Unit","Afterpay US Receivables Warehouse-C LLC","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Afterpay US Receivables Warehouse-C LLC,Payroll Statutory Unit","0001/01/01","4712/12/31","","HCM_PSU_US","US","A","","","","#null"
"LE_143","0001/01/01","4712/12/31","Payroll Statutory Unit","Afterpay US Receivables Warehouse-GS LLC","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Afterpay US Receivables Warehouse-GS LLC,Payroll Statutory Unit","0001/01/01","4712/12/31","","HCM_PSU_US","US","A","","","","#null"
"LE_146","0001/01/01","4712/12/31","Payroll Statutory Unit","Afterpay Receivables Warehouse-JPM LLC","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Afterpay Receivables Warehouse-JPM LLC,Payroll Statutory Unit","0001/01/01","4712/12/31","","HCM_PSU_US","US","A","","","","#null"
"LE_262","0001/01/01","4712/12/31","Payroll Statutory Unit","Touch Holdings Pty Ltd","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Touch Holdings Pty Ltd,Payroll Statutory Unit","0001/01/01","4712/12/31","","HCM_PSU","AU","A","","","","#null"
"LE_267","0001/01/01","4712/12/31","Payroll Statutory Unit","Afterpay Holdings Pty Ltd","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Afterpay Holdings Pty Ltd,Payroll Statutory Unit","0001/01/01","4712/12/31","","HCM_PSU","AU","A","","","","#null"
"LE_205","0001/01/01","4712/12/31","Payroll Statutory Unit","PT Empat Kali Indonesia","0001/01/01","4712/12/31","OrgUnitClassificationMigration","PT Empat Kali Indonesia,Payroll Statutory Unit","0001/01/01","4712/12/31","","HCM_PSU","ID","A","","","","#null"
"LE_221","0001/01/01","4712/12/31","Payroll Statutory Unit","Afterpay Information Technology Service (Shanghai) Co., Ltd.","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Afterpay Information Technology Service (Shanghai) Co., Ltd.,Payroll Statutory Unit","0001/01/01","4712/12/31","","HCM_PSU_CN","CN","A","","","","#null"
"LE_331","0001/01/01","4712/12/31","Payroll Statutory Unit","Clearpay (International) Finance Holding Limited","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Clearpay (International) Finance Holding Limited,Payroll Statutory Unit","0001/01/01","4712/12/31","","HCM_PSU_GB","GB","A","","","","#null"
"LE_335","0001/01/01","4712/12/31","Payroll Statutory Unit","Clearpay Finance Limited","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Clearpay Finance Limited,Payroll Statutory Unit","0001/01/01","4712/12/31","","HCM_PSU_GB","GB","A","","","","#null"
"LE_338","0001/01/01","4712/12/31","Payroll Statutory Unit","Clearpay S.A.U.","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Clearpay S.A.U.,Payroll Statutory Unit","0001/01/01","4712/12/31","","HCM_PSU","ES","A","","","","#null"
"LE_141","0001/01/01","4712/12/31","Payroll Statutory Unit","Afterpay US, Inc.","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Afterpay US, Inc.,Payroll Statutory Unit","0001/01/01","4712/12/31","","HCM_PSU_US","US","A","","","","#null"
"LE_271","0001/01/01","4712/12/31","Payroll Statutory Unit","Lanai (AU) 1 Pty Ltd","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Lanai (AU) 1 Pty Ltd,Payroll Statutory Unit","0001/01/01","4712/12/31","","HCM_PSU","AU","A","","","","#null"
