"PAY_PAYROLL_STATUTORY_UNIT_ORG.OrganizationCode","PAY_PAYROLL_STATUTORY_UNIT_ORG.EffectiveStartDate","PAY_PAYROLL_STATUTORY_UNIT_ORG.EffectiveEndDate","ViewInstanceName","GroupingKey","LogicalStartDate","LogicalEndDate","EffectiveStartDate","EffectiveEndDate","Name","Title","GUID","SourceLang","Language","ClassificationCode","ClassificationName","OrganizationCode","OrganizationId"
"LE_322","0001/01/01","4712/12/31","OrganizationMigrationTranslation","C8B958323799E77AE053A062500AF1B1","0001/01/01","4712/12/31","0001/01/01","4712/12/31","Tidal sp. z o.o.","","C8B958323799E77AE053A062500AF1B1","US","US","HCM_PSU","","LE_322",""
"LE_212","0001/01/01","4712/12/31","OrganizationMigrationTranslation","CF7D64B1EE2977CEE053A062500A9378","0001/01/01","4712/12/31","0001/01/01","4712/12/31","Tidal K.K.","","CF7D64B1EE2977CEE053A062500A9378","US","US","HCM_PSU","","LE_212",""
"LE_325","0001/01/01","4712/12/31","OrganizationMigrationTranslation","D190D52DA4C081B2E053A062500AD5FA","0001/01/01","4712/12/31","0001/01/01","4712/12/31","Tidal Music - Spain, SL","","D190D52DA4C081B2E053A062500AD5FA","US","US","HCM_PSU","","LE_325",""
"LE_263","0001/01/01","4712/12/31","OrganizationMigrationTranslation","DB9498B9B826B475E053A162500AAE87","0001/01/01","4712/12/31","0001/01/01","4712/12/31","Touch Australia Pty Ltd","","DB9498B9B826B475E053A162500AAE87","US","US","HCM_PSU","","LE_263",""
"LE_265","0001/01/01","4712/12/31","OrganizationMigrationTranslation","DB94AAC2F85880ADE053A162500AA254","0001/01/01","4712/12/31","0001/01/01","4712/12/31","Touch Networks Pty Ltd","","DB94AAC2F85880ADE053A162500AA254","US","US","HCM_PSU","","LE_265",""
"LE_269","0001/01/01","4712/12/31","OrganizationMigrationTranslation","DB9498B9B82BB475E053A162500AAE87","0001/01/01","4712/12/31","0001/01/01","4712/12/31","Afterpay Warehouse Trust","","DB9498B9B82BB475E053A162500AAE87","US","US","HCM_PSU","","LE_269",""
"LE_332","0001/01/01","4712/12/31","OrganizationMigrationTranslation","DB955CB779708AC5E053A062500AD0EA","0001/01/01","4712/12/31","0001/01/01","4712/12/31","Clearpay (UK) Finance Services Limited","","DB955CB779708AC5E053A062500AD0EA","US","US","HCM_PSU","","LE_332",""
"LE_340","0001/01/01","4712/12/31","OrganizationMigrationTranslation","DB954372416AE563E053A062500A3B34","0001/01/01","4712/12/31","0001/01/01","4712/12/31","Pagantis, S.A. (Italian Branch)","","DB954372416AE563E053A062500A3B34","US","US","HCM_PSU","","LE_340",""
"LE_142","0001/01/01","4712/12/31","OrganizationMigrationTranslation","DB95DC9F0506B6E5E053A162500AD4C6","0001/01/01","4712/12/31","0001/01/01","4712/12/31","Afterpay US Receivables Warehouse-C LLC","","DB95DC9F0506B6E5E053A162500AD4C6","US","US","HCM_PSU","","LE_142",""
"LE_143","0001/01/01","4712/12/31","OrganizationMigrationTranslation","DB9577B9DF26B8E5E053A162500ADADF","0001/01/01","4712/12/31","0001/01/01","4712/12/31","Afterpay US Receivables Warehouse-GS LLC","","DB9577B9DF26B8E5E053A162500ADADF","US","US","HCM_PSU","","LE_143",""
"LE_146","0001/01/01","4712/12/31","OrganizationMigrationTranslation","DB955CB779758AC5E053A062500AD0EA","0001/01/01","4712/12/31","0001/01/01","4712/12/31","Afterpay Receivables Warehouse-JPM LLC","","DB955CB779758AC5E053A062500AD0EA","US","US","HCM_PSU","","LE_146",""
"LE_262","0001/01/01","4712/12/31","OrganizationMigrationTranslation","DB91C370DA3C6627E053A162500A384F","0001/01/01","4712/12/31","0001/01/01","4712/12/31","Touch Holdings Pty Ltd","","DB91C370DA3C6627E053A162500A384F","US","US","HCM_PSU","","LE_262",""
"LE_267","0001/01/01","4712/12/31","OrganizationMigrationTranslation","DB94BA4FAE1817B9E053A162500A0DF2","0001/01/01","4712/12/31","0001/01/01","4712/12/31","Afterpay Holdings Pty Ltd","","DB94BA4FAE1817B9E053A162500A0DF2","US","US","HCM_PSU","","LE_267",""
"LE_205","0001/01/01","4712/12/31","OrganizationMigrationTranslation","DB9528C4E71591FDE053A162500A21CE","0001/01/01","4712/12/31","0001/01/01","4712/12/31","PT Empat Kali Indonesia","","DB9528C4E71591FDE053A162500A21CE","US","US","HCM_PSU","","LE_205",""
"LE_221","0001/01/01","4712/12/31","OrganizationMigrationTranslation","DB9533F8EC3CB23FE053A062500AA37A","0001/01/01","4712/12/31","0001/01/01","4712/12/31","Afterpay Information Technology Service (Shanghai) Co., Ltd.","","DB9533F8EC3CB23FE053A062500AA37A","US","US","HCM_PSU","","LE_221",""
"LE_331","0001/01/01","4712/12/31","OrganizationMigrationTranslation","DB95546643DC9BB3E053A062500A1D71","0001/01/01","4712/12/31","0001/01/01","4712/12/31","Clearpay (International) Finance Holding Limited","","DB95546643DC9BB3E053A062500A1D71","US","US","HCM_PSU","","LE_331",""
"LE_335","0001/01/01","4712/12/31","OrganizationMigrationTranslation","DB956EBFD44AB227E053A062500A182F","0001/01/01","4712/12/31","0001/01/01","4712/12/31","Clearpay Finance Limited","","DB956EBFD44AB227E053A062500A182F","US","US","HCM_PSU","","LE_335",""
"LE_338","0001/01/01","4712/12/31","OrganizationMigrationTranslation","DB956D150AB7A1C8E053A162500A870B","0001/01/01","4712/12/31","0001/01/01","4712/12/31","Clearpay S.A.U.","","DB956D150AB7A1C8E053A162500A870B","US","US","HCM_PSU","","LE_338",""
"LE_141","0001/01/01","4712/12/31","OrganizationMigrationTranslation","DB95D64F53092699E053A062500A8103","0001/01/01","4712/12/31","0001/01/01","4712/12/31","Afterpay US, Inc.","","DB95D64F53092699E053A062500A8103","US","US","HCM_PSU","","LE_141",""
"LE_271","0001/01/01","4712/12/31","OrganizationMigrationTranslation","DB962A0478B3EB5AE053A162500A2FD7","0001/01/01","4712/12/31","0001/01/01","4712/12/31","Lanai (AU) 1 Pty Ltd","","DB962A0478B3EB5AE053A162500A2FD7","US","US","HCM_PSU","","LE_271",""
"LE_270","0001/01/01","4712/12/31","OrganizationMigrationTranslation","DB94CF6652AECB08E053A162500A9EE5","0001/01/01","4712/12/31","0001/01/01","4712/12/31","Afterpay International Holdings Pty Ltd","","DB94CF6652AECB08E053A162500A9EE5","US","US","HCM_PSU","","LE_270",""
"LE_264","0001/01/01","4712/12/31","OrganizationMigrationTranslation","DB94990DFFEC4882E053A162500A8FE7","0001/01/01","4712/12/31","0001/01/01","4712/12/31","Afterpay Corporate Services Pty Ltd","","DB94990DFFEC4882E053A162500A8FE7","US","US","HCM_PSU","","LE_264",""
"LE_266","0001/01/01","4712/12/31","OrganizationMigrationTranslation","DB94B293E058D9DCE053A162500AFAAC","0001/01/01","4712/12/31","0001/01/01","4712/12/31","Afterpay China Holdings Pty Ltd","","DB94B293E058D9DCE053A162500AFAAC","US","US","HCM_PSU","","LE_266",""
"LE_268","0001/01/01","4712/12/31","OrganizationMigrationTranslation","DB94C08444EF81A0E053A162500A77A1","0001/01/01","4712/12/31","0001/01/01","4712/12/31","Afterpay Australia Pty Ltd","","DB94C08444EF81A0E053A162500A77A1","US","US","HCM_PSU","","LE_268",""
"LE_203","0001/01/01","4712/12/31","OrganizationMigrationTranslation","DB94990DFFF74882E053A162500A8FE7","0001/01/01","4712/12/31","0001/01/01","4712/12/31","Afterpay Asia Pte. Ltd.","","DB94990DFFF74882E053A162500A8FE7","US","US","HCM_PSU","","LE_203",""
"LE_333","0001/01/01","4712/12/31","OrganizationMigrationTranslation","DB95678BAD8F7C4DE053A162500A0D6E","0001/01/01","4712/12/31","0001/01/01","4712/12/31","Clearpay (International) Limited ","","DB95678BAD8F7C4DE053A162500A0D6E","US","US","HCM_PSU","","LE_333",""
"LE_148","0001/01/01","4712/12/31","OrganizationMigrationTranslation","DB9607653719FA02E053A162500A262D","0001/01/01","4712/12/31","0001/01/01","4712/12/31","Lanai (US) 2, LLC","","DB9607653719FA02E053A162500A262D","US","US","HCM_PSU","","LE_148",""
"LE_261","0001/01/01","4712/12/31","OrganizationMigrationTranslation","DB9482B2B723FB78E053A162500A2FDB","0001/01/01","4712/12/31","0001/01/01","4712/12/31","Afterpay Limited","","DB9482B2B723FB78E053A162500A2FDB","US","US","HCM_PSU","","LE_261",""
"LE_145","0001/01/01","4712/12/31","OrganizationMigrationTranslation","DB94FBAF4AB7DF14E053A162500ADFFD","0001/01/01","4712/12/31","0001/01/01","4712/12/31","Touchcorp Limited ","","DB94FBAF4AB7DF14E053A162500ADFFD","US","US","HCM_PSU","","LE_145",""
"LE_204","0001/01/01","4712/12/31","OrganizationMigrationTranslation","DB950E7D6EE77780E053A162500AD1C3","0001/01/01","4712/12/31","0001/01/01","4712/12/31","Setelah Bayar Pte. Ltd.","","DB950E7D6EE77780E053A162500AD1C3","US","US","HCM_PSU","","LE_204",""
"LE_231","0001/01/01","4712/12/31","OrganizationMigrationTranslation","DB953B4D86F476FDE053A162500A2187","0001/01/01","4712/12/31","0001/01/01","4712/12/31","Afterpay NZ Limited","","DB953B4D86F476FDE053A162500A2187","US","US","HCM_PSU","","LE_231",""
"LE_232","0001/01/01","4712/12/31","OrganizationMigrationTranslation","DB953CE47550EA44E053A062500A8003","0001/01/01","4712/12/31","0001/01/01","4712/12/31","Afterpay NZ Warehouse Trust","","DB953CE47550EA44E053A062500A8003","US","US","HCM_PSU","","LE_232",""
"LE_336","0001/01/01","4712/12/31","OrganizationMigrationTranslation","DB957E7F66666C93E053A062500A079B","0001/01/01","4712/12/31","0001/01/01","4712/12/31","Clearpay Receivables Warehouse 2020-1 Limited","","DB957E7F66666C93E053A062500A079B","US","US","HCM_PSU","","LE_336",""
"LE_334","0001/01/01","4712/12/31","OrganizationMigrationTranslation","DB955CC0D724757DE053A162500A0BC2","0001/01/01","4712/12/31","0001/01/01","4712/12/31","Clearpay (Europe) Limited","","DB955CC0D724757DE053A162500A0BC2","US","US","HCM_PSU","","LE_334",""
"LE_337","0001/01/01","4712/12/31","OrganizationMigrationTranslation","DB955CC0D72D757DE053A162500A0BC2","0001/01/01","4712/12/31","0001/01/01","4712/12/31","Clearpay Receivables Warehouse 2020-2 Limited","","DB955CC0D72D757DE053A162500A0BC2","US","US","HCM_PSU","","LE_337",""
"LE_339","0001/01/01","4712/12/31","OrganizationMigrationTranslation","DB9598C6704AC301E053A162500AB174","0001/01/01","4712/12/31","0001/01/01","4712/12/31","Clearpay Technology S.L.","","DB9598C6704AC301E053A162500AB174","US","US","HCM_PSU","","LE_339",""
"LE_341","0001/01/01","4712/12/31","OrganizationMigrationTranslation","DB958330AC57E33DE053A162500AA51B","0001/01/01","4712/12/31","0001/01/01","4712/12/31","Pagantis, S.A. (French Branch)","","DB958330AC57E33DE053A162500AA51B","US","US","HCM_PSU","","LE_341",""
"LE_144","0001/01/01","4712/12/31","OrganizationMigrationTranslation","DB95E8B65C431D7AE053A162500A4AF6","0001/01/01","4712/12/31","0001/01/01","4712/12/31","Afterpay US Services, LLC","","DB95E8B65C431D7AE053A162500A4AF6","US","US","HCM_PSU","","LE_144",""
"LE_153","0001/01/01","4712/12/31","OrganizationMigrationTranslation","DB95DC86FD2D9CCFE053A062500AB547","0001/01/01","4712/12/31","0001/01/01","4712/12/31","Afterpay Canada Limited","","DB95DC86FD2D9CCFE053A062500AB547","US","US","HCM_PSU","","LE_153",""
"LE_147","0001/01/01","4712/12/31","OrganizationMigrationTranslation","DB9607DA4901F966E053A062500A5A5D","0001/01/01","4712/12/31","0001/01/01","4712/12/31","Lanai (US) 1, LLC","","DB9607DA4901F966E053A062500A5A5D","US","US","HCM_PSU","","LE_147",""
"LE_272","0001/01/01","4712/12/31","OrganizationMigrationTranslation","DB962CE7EBBB6EB5E053A062500AA20F","0001/01/01","4712/12/31","0001/01/01","4712/12/31","Lanai (AU) 2 Pty Ltd","","DB962CE7EBBB6EB5E053A062500AA20F","US","US","HCM_PSU","","LE_272",""
"LE_504","0001/01/01","4712/12/31","OrganizationMigrationTranslation","DEB1633CD45727DCE053A162500A364C","0001/01/01","4712/12/31","0001/01/01","4712/12/31","Block of Mexico, SA","","DEB1633CD45727DCE053A162500A364C","US","US","HCM_PSU","","LE_504",""
"LE_327","0001/01/01","4712/12/31","OrganizationMigrationTranslation","E0CCDEBBA206C20BE0534893500A4BDE","0001/01/01","4712/12/31","0001/01/01","4712/12/31","GoParrot SRL","","E0CCDEBBA206C20BE0534893500A4BDE","US","US","HCM_PSU","","LE_327",""
"LE_274","0001/01/01","4712/12/31","OrganizationMigrationTranslation","E3A23F9A15DD2F43E0539696500A51DF","0001/01/01","4712/12/31","0001/01/01","4712/12/31","Lanai (AU) 2 Pty Ltd.","","E3A23F9A15DD2F43E0539696500A51DF","US","US","HCM_PSU","","LE_274",""
"LE_273","0001/01/01","4712/12/31","OrganizationMigrationTranslation","E3A22DB7EF7E7FB3E0534893500A5A43","0001/01/01","4712/12/31","0001/01/01","4712/12/31","Lanai (AU) 1 Pty Ltd.","","E3A22DB7EF7E7FB3E0534893500A5A43","US","US","HCM_PSU","","LE_273",""
"LE_326","0001/01/01","4712/12/31","OrganizationMigrationTranslation","E580EB7BD965B54BE0539696500A373C","0001/01/01","4712/12/31","0001/01/01","4712/12/31","Block XYZ Limited","","E580EB7BD965B54BE0539696500A373C","US","US","HCM_PSU","","LE_326",""
"LE_154","0001/01/01","4712/12/31","OrganizationMigrationTranslation","E70E686654376414E0534893500A3A30","0001/01/01","4712/12/31","0001/01/01","4712/12/31","Cash App Canada Payments ULC","","E70E686654376414E0534893500A3A30","US","US","HCM_PSU","","LE_154",""
"LE_149","0001/01/01","4712/12/31","OrganizationMigrationTranslation","EAD8F4D0FD003D45E0539696500AD079","0001/01/01","4712/12/31","0001/01/01","4712/12/31","LWAC limited","","EAD8F4D0FD003D45E0539696500AD079","US","US","HCM_PSU","","LE_149",""
